"Facility ID","Facility Name","Owner Name","Facility Address","Facility Zip","Facility Status","Facility Type","Facility Phone",City,"Last Inspection",Latitude,Longitude,"Date Certified","Drinking Water Source","UST ID"
0-000000,"Operator Training Test Site","Joe Schmoe",None,83706,Closure,"Gas Station",,BOISE, ,,,10/21/2008,Yes,5900
1-050001,"CITY OF ST. MARIES","CITY OF ST. MARIES","602 COLLEGE AVE",83861,Closure,"Local Government",,"SAINT MARIES", ,47.31531000,-116.56582000,05/13/1986,Yes,66
1-050004,"KEN'S BODY SHOP","KEN & CONNIE MUELLER,CARMEN TORCHIE","1330 MAIN ST",83861,Closure,"Not Listed","(208) 245-3352","SAINT MARIES", ,47.31649000,-116.57373000,04/21/1986,Yes,67
1-050005,"PENDELL OIL INC","PENDELL OIL INC","930 ST JOE AVE",83861,Closure,"Petroleum Distributor",,"SAINT MARIES", ,47.31921000,-116.56966000,07/27/1998,Yes,68
1-050006,"THIRD STREET ONE STOP","PENDELL OIL, INC","320 COLLEGE AVE",83861,Active,"Gas Station",,"SAINT MARIES",5/21/2024,47.31541000,-116.56315000,05/26/1999,Yes,69
1-050008,"ST. MARIES RIVER RAILROAD","ST. MARIES RIVER RAILROAD","FERNWOOD DEPOTSTATE HWY 3",83830,Closure,Railroad,,FERNWOOD, ,47.10898000,-116.39351000,10/24/1995,Yes,70
1-050010,"CITY OF ST. MARIES","CITY OF ST. MARIES","2ND & JEFFERSON",83861,Closure,"Local Government",,"SAINT MARIES", ,47.31450000,-116.56146000,05/13/1986,Yes,71
1-050012,"G&J'S BAR AND CONVENIENCE STORE","Rayda Yearot","ROUTE 4, HWY 6 EMIDA",83861,Closure,"Gas Station","(208) 245-9911","SAINT MARIES", ,47.11698000,-116.59743000,05/30/1986,Yes,72
1-050015,"Heyburn State Park","ID DEPT OF PARKS & RECREATION-Operations","7 MI E OF PLUMMER OFF HWY 5",83851,Closure,"State Government",,PLUMMER, ,47.36137000,-116.77700000,12/20/1991,Yes,73
1-050016,"HEYBURN STATE PARK/BENEWAH RESORT","ID DEPT OF PARKS & RECREATION-Operations","BENEWAH RESORT",83851,Closure,"State Government",,PLUMMER, ,47.35491000,-116.74848000,12/20/1991,Yes,74
1-050017,"HEYBURN STATE PARK (ROCKY PT RESORT)","ID DEPT OF PARKS & RECREATION-Operations","MARINA
PO BOX 218",83851,Closure,"State Government",,PLUMMER, ,47.35437000,-116.75153000,12/20/1991,Yes,75
1-050023,"PENDELL OIL INC","PENDELL OIL INC","1020 RAILROAD AVE",83861,Closure,"Petroleum Distributor",,"SAINT MARIES", ,47.32034000,-116.56973000,08/07/1991,Yes,4495
1-050025,"ED'S R & R","ERNEST & CATHLEEN PENDELL","HWY 3 & ST JOE RIVER",83861,Active,"Gas Station",,"SAINT MARIES",5/21/2024,47.31825000,-116.56096000,02/25/2002,Yes,76
1-050028,"FERNWOOD MERCANTILE INC","Jon and Kelly Beauchman","64147 HWY 3",83830,Active,"Gas Station",,FERNWOOD,9/20/2024,47.11305000,-116.39301000,09/04/2000,Yes,77
1-050033,"SANTA CEDAR","POTLATCH CORP","HWY 3",83866,Closure,Industrial,,SANTA, ,47.14563000,-116.43602000,08/30/1991,Yes,78
1-050034,"ST. MARIES PLYWOOD","POTLATCH CORP","MILL RD",83861,Closure,Industrial,,"SAINT MARIES", ,47.32374000,-116.58702000,08/30/1991,Yes,79
1-050035,ITD,"IDAHO TRANSPORTATION DEPARTMENT","HWY 3 RT MP 81.72",83861,Closure,"State Government",,"SAINT MARIES", ,47.28687000,-116.52085000,,Yes,80
