"Facility ID","Lust ID","Confirmed Release","Cleanup Complete","Enforcement Effective","Enforcement Termination",Ec,Delete
1-050005,1085,01/06/1999,01/20/1999, , ,No,
1-050006,390,07/05/1994,12/12/1994, , ,No,
1-050015,54,06/11/1996,06/16/1997, , ,No,
1-050015,391,06/11/1996,06/11/1996, , ,No,
1-050016,389,08/12/1990,05/21/1997, , ,No,
1-050017,388,08/13/1990,02/03/1995, , ,No,
1-050025,55,06/22/1994,06/26/2002, , ,No,
1-050028,392,08/23/1994,12/01/1997, , ,No,
1-050050,56,04/10/1996,06/16/1998, , ,No,
1-050054,2357,03/20/2020,01/29/2021,03/20/2020,01/29/2021,No,
1-050055,393,11/29/1989,07/15/1993, , ,No,
1-050055,1058,10/21/1998,10/28/1998, , ,No,
1-050602,1064,06/28/1993,06/28/1993, , ,No,
1-050603,394,09/30/1993,11/25/1994, , ,No,
1-050606,1426,09/01/2007,10/05/2007,09/01/2007,10/09/2007,No,
1-050607,1673,04/21/2009,06/02/2009,04/21/2009,06/15/2009,No,
1-050611,2361,06/12/2020,07/08/2020,06/12/2020,07/08/2020,No,
1-090004,1186,05/23/2000,09/21/2000,05/23/2000,07/27/2001,No,
1-090006,329,07/15/1993,12/22/1995, , ,No,
1-090008,71,07/22/1993,06/08/2005,08/15/1995,06/08/2005,Yes,
1-090010,1187,11/01/2000,03/21/2001,11/01/2000,08/16/2001,No,
1-090011,70,07/19/1991,08/11/1999, , ,No,
1-090014,163,01/01/1991,10/16/2003,07/29/1998,10/16/2003,Yes,
1-090015,165,07/01/1994,10/16/2003,07/29/1998,10/16/2003,Yes,
1-090016,1125,09/22/1998,10/16/2003, , ,No,
1-090020,330,11/16/1991,02/07/1994, , ,No,
1-090022,331,07/15/1992,07/22/1994, , ,No,
1-090032,335,08/20/1992,12/22/1995, , ,No,
1-090033,336,04/08/1992,11/15/2007,04/08/1992,11/15/2007,No,
1-090044,2236,07/03/2003,01/09/2004, , ,No,
1-090045,334,08/31/1994,10/20/1994, , ,No,
1-090050,166,09/09/1994, ,05/07/2001, ,No,
1-090053,258,11/08/1995,11/20/1995, , ,No,
1-090058,428,05/18/1993,12/01/1995, , ,No,
1-090065,338,06/05/1991,11/22/1993, , ,No,
1-090065,2367,02/10/2021,01/06/2023,02/11/2021,01/06/2023,No,
1-090067,1005,02/15/1990,11/20/1992, , ,No,
1-090069,167,10/28/1992,12/14/1992, , ,No,
1-090072,332,04/08/1992,12/15/1994, , ,No,
1-090072,967,03/25/1998,01/08/1999, , ,No,
1-090073,1108,10/20/1998,11/29/1998, , ,No,
1-090078,1393,01/01/1998,08/17/2016,01/06/1998,05/22/2017,Yes,
1-090078,1394,10/24/2005,02/28/2013,04/11/2006,02/27/2013,No,
1-090079,1294,09/17/1999,09/17/1999,09/17/1999, ,No,
1-090081,1226,02/26/1997,02/24/2003, , ,No,
1-090081,1227,04/10/2001,02/24/2003,06/15/2001, ,No,
1-090082,339,11/01/1991,05/25/1994, , ,No,
1-090083,340,04/01/1992,09/28/1992, , ,No,
1-090088,341,08/27/1990,10/26/1994, , ,No,
1-090096,2240,05/04/1990,04/04/1994, , ,No,
1-090102,1256,10/27/1998,05/03/1999, , ,No,
1-090105,170,11/17/1997,06/01/2001, , ,No,
1-090107,342,06/30/1991,09/24/1997, , ,No,
1-090109,171,09/01/1989, ,11/27/2001, ,No,
1-090109,2248,06/04/2013, ,06/04/2013, ,No,
1-090110,172,05/23/1991,01/29/1999, , ,No,
1-090111,252,09/27/1991,04/22/1997, , ,No,
