"Tank #","Facility ID",Capacity,Status,Substance,"Tank Material","Date Installed",Atg,Delete
1,0-000000,20000,Closure,"E10 Regular","Cathodically Protected Steel (Impressed Current)",11/13/1990, ,
2,0-000000,20000,Closure,"E85 Premium","Cathodically Protected Steel (Impressed Current)",12/22/1988, ,
3,0-000000,500,Closure,"Used Oil","Cathodically Protected Steel (Galvanic)",12/22/1988, ,
4,0-000000,5000,Closure,"Jet Fuel","Composite (Steel w/ FRP)",12/22/1988, ,
5,0-000000,10000,Closure,"Regular Gasoline","Fiberglass Reinforced Plastic",01/01/2005, ,
6,0-000000,2000,Closure,"Regular Gasoline","Fiberglass Reinforced Plastic",01/01/2005, ,
1,1-050001,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1981, ,
1,1-050004,3000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1970, ,
2,1-050004,2000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1970, ,
3,1-050004,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1970, ,
4,1-050004,500,Closure,"Not Listed","Asphalt Coated or Bare Steel",01/01/1970, ,
5,1-050004,500,Closure,"Used Oil","Asphalt Coated or Bare Steel",01/01/1970, ,
6,1-050004,500,Closure,"Used Oil","Asphalt Coated or Bare Steel",01/01/1970, ,
1,1-050005,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",06/01/1970, ,
2,1-050005,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",06/01/1970, ,
1,1-050006,6000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",05/01/1969, ,
2,1-050006,6000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",05/01/1969, ,
3,1-050006,6000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",05/01/1969, ,
4,1-050006,6000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",05/01/1969, ,
5,1-050006,550,Active,"Used Oil","Asphalt Coated or Bare Steel",05/01/1969, ,
6A,1-050006,4000,Active,"Premium Gasoline","Composite (Steel w/ FRP)",06/09/1994,"T2: Super",
6B,1-050006,4000,Active,"Midgrade Gasoline","Composite (Steel w/ FRP)",06/09/1994,"T1: Plus",
6C,1-050006,8000,Active,"Regular Gasoline","Composite (Steel w/ FRP)",06/09/1994,"T3: Unleaded",
1,1-050008,550,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1986, ,
2,1-050008,550,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1986, ,
1,1-050010,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1976, ,
2,1-050010,500,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1976, ,
1,1-050012,5000,Closure,Diesel,"Asphalt Coated or Bare Steel",01/01/1977, ,
2,1-050012,4000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1977, ,
3,1-050012,3000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1977, ,
1,1-050015,550,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1946, ,
2,1-050015,550,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1983, ,
1,1-050016,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1961, ,
2,1-050016,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1961, ,
3,1-050016,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1961, ,
1,1-050017,500,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1971, ,
2,1-050017,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1971, ,
3,1-050017,1000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1971, ,
1,1-050023,6000,Closure,"Regular Gasoline","Asphalt Coated or Bare Steel",01/01/1972, ,
1,1-050025,12000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",05/01/1982, ,
2,1-050025,12000,Active,Diesel,"Asphalt Coated or Bare Steel",05/01/1982, ,
3,1-050025,12000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",05/01/1982, ,
4,1-050025,6000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",07/01/1968, ,
5,1-050025,1900,Active,Diesel,"Asphalt Coated or Bare Steel",07/01/1968, ,
6,1-050025,6000,Active,Kerosene,"Asphalt Coated or Bare Steel",08/01/1971, ,
7,1-050025,10000,Active,Diesel,"Asphalt Coated or Bare Steel",07/01/1968, ,
8,1-050025,6000,Active,Diesel,"Asphalt Coated or Bare Steel",07/01/1968, ,
9,1-050025,10000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",08/01/1971, ,
10,1-050025,6000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",08/01/1971, ,
11,1-050025,24000,Active,"Regular Gasoline","Composite (Steel w/ FRP)",09/01/1997,"Tank 1",
14,1-050025,24000,Active,"Offroad Diesel","Composite (Steel w/ FRP)",09/01/1997,"Tank 4",
15,1-050025,24000,Active,Diesel,"Composite (Steel w/ FRP)",09/01/1997,"Tank 5",
12A,1-050025,12000,Active,"Premium Gasoline","Composite (Steel w/ FRP)",09/01/1997,"Tank 3",
12B,1-050025,12000,Active,"Offroad Diesel","Composite (Steel w/ FRP)",09/01/1997,"Tank 2",
1,1-050028,2000,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",10/01/1974, ,
2,1-050028,550,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",10/01/1974, ,
3,1-050028,500,Active,"Regular Gasoline","Asphalt Coated or Bare Steel",08/01/1977, ,
4A,1-050028,3000,Active,"Regular Gasoline","Composite (Steel w/ FRP)",09/01/1994,"Tank 1",
4B,1-050028,2000,Active,"Regular Gasoline","Composite (Steel w/ FRP)",09/01/1994,"Tank 2",
4C,1-050028,2000,Active,"Premium Gasoline","Composite (Steel w/ FRP)",09/01/1994,"Tank 3",
